Наименование	Код	Артикул	РодительНаименование	РодительКод
Конструктор пласт.с фигуркой, 31 дет. в пак. 24104	УТ000004802	24104	Конструкторы пластиковые, кубики	00000009743
"Конструктор ""ГОРОД МАСТЕРОВ"" большие кубики: супер джипы в кор. LL-1008-R"	УТ000004808	1008ЛЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Арктика: полярный вездеход с фигуркой в кор. UU-2514-R"	УТ000004809	2514УУ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" робот 3в1, 74 дет. в кор. JS-9017-R"	УТ000004810	9017ЖС	Конструкторы блочные	00000000500
"Игрушка конструктор ""ГОРОД МАСТЕРОВ"" дискотека, с фигурками, 86 дет. в кор. BL-2064-R"	УТ000004811	2064ВЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Горка с фигуркой львенка в кор. ВВ-6755-R"	УТ000004812	6755ВВ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Фиксики ""Качели Симки"" 70 дет. в кор. ВВ-6757-R"	УТ000004813	6757ВВ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" большие кубики: Паровозик с 2 вагонами в кор. LL-1003-R"	УТ000004814	1003ЛЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" большие кубики: супер джипы в кор. LL-1009-R"	УТ000004815	1009ЛЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" 2-в-1 супер крылья: Джером, 109 дет в кор. ВВ-1526-R"	УТ000004816	1526ВВ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ""  дизайнер одежды, с фигуркой, 110 дет. в кор. BL-2072-R"	УТ000004817	2072ВЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Автобус Тайо в кор. BB-1521-R"	УТ000004818	1521ВВ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Самураи, с фигуркой, 91 дет. в кор. LL-2722-R"	УТ000004819	2722ЛЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" большие кубики: Машинка с Жирафом, с фигуркой в кор. LL-1005-R"	УТ000004820	1005ЛЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Арктика: Полярная станция, с фигурками в кор. UU-2503-R"	УТ000004821	2503УУ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Паровозик с ж/д дорогой, в кор. BB-6718-R"	УТ000004822	6718ВВ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" 2-в-1 супер крылья: Диззи, 119 дет, в кор. BB-1527-R"	УТ000004823	1527ВВ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" робот 3в1, 75 дет. в кор. JS-9019-R"	УТ000004824	9019ЖС	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" 3-в-1 Робот+Машины, в кор. UU-9008-R"	УТ000004825	9008УУ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Джунгли: Вертолет, 215 дет, в кор. LL-2519-R"	УТ000004826	2519ЛЛ	Конструкторы блочные	00000000500
